dissimilarity,homogeneity,contrast,energy,correlation,ASM,label
10.26915323,0.4562667,598.3080645,0.298914128,0.902689646,0.089349656,1
8.629939516,0.480410665,396.4902218,0.337880971,0.921617612,0.11416355,1
8.947278226,0.514773426,487.7162298,0.342740097,0.82418963,0.117470774,1
9.103629032,0.479785555,440.5881048,0.345682447,0.890220287,0.119496354,1
8.353931452,0.473052387,369.540625,0.331911178,0.905888602,0.11016503,1
8.424193548,0.495014466,448.5256048,0.324084825,0.941528667,0.105030974,1
9.427116935,0.499447201,552.2539315,0.350969645,0.932795536,0.123179692,1
8.365020161,0.474826715,366.2448589,0.320302439,0.89816298,0.102593652,1
8.921673387,0.461922462,463.6037298,0.312025915,0.910787265,0.097360172,1
10.03508065,0.419830658,551.0772177,0.26969104,0.951712557,0.072733257,1
9.424798387,0.437786181,405.2903226,0.30724553,0.91512642,0.094399815,1
7.297580645,0.495507289,326.322379,0.31078719,0.924541041,0.096588677,1
6.546907484,0.463573125,267.1382536,0.224886735,0.950340488,0.050574044,1
8.889818548,0.449573762,423.9331653,0.290026381,0.91270124,0.084115301,1
8.031955645,0.457426869,349.0797379,0.288501055,0.933789231,0.083232859,1
8.418044355,0.488890557,403.3392137,0.344244453,0.905146635,0.118504244,1
9.723185484,0.501068183,565.0030242,0.34456117,0.941501096,0.1187224,1
8.053225806,0.470856661,361.9370968,0.313030734,0.915203407,0.097988241,1
9.290725806,0.461642795,468.7508065,0.312736805,0.935932142,0.097804309,1
7.971068548,0.496463448,365.0323589,0.34837995,0.889679046,0.12136859,1
7.791733871,0.529950989,367.2756048,0.394318607,0.894873772,0.155487163,1
8.323487903,0.471475134,377.3898185,0.330288981,0.894754563,0.109090811,1
8.888004032,0.435187633,391.9063508,0.301056911,0.922216335,0.090635264,1
9.524899194,0.449655211,550.059375,0.269332315,0.955760513,0.072539896,1
10.26985887,0.432472738,610.3109879,0.273833522,0.950695699,0.074984798,1
7.506552419,0.495141377,336.824496,0.291166483,0.932440594,0.084777921,1
8.65625,0.461033925,398.9163306,0.323367457,0.937608613,0.104566512,1
8.809576403,0.396873793,350.8620712,0.227686658,0.926242592,0.051841214,1
8.591330645,0.474596531,419.8262097,0.331066958,0.916013515,0.109605331,1
